date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:03:05	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2011:33:04%20GMT	https://s4shanmugsundar.wixsite.com/085f85ee.min.css	C:/xampp/htdocs/HTTrack/S4%20Wix/s4shanmugsundar.wixsite.com/085f85ee.min.css	(from https://s4shanmugsundar.wixsite.com/website)
17:03:06	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2011:33:05%20GMT	https://s4shanmugsundar.wixsite.com/fc21aae5.min.css	C:/xampp/htdocs/HTTrack/S4%20Wix/s4shanmugsundar.wixsite.com/fc21aae5.min.css	(from https://s4shanmugsundar.wixsite.com/website)
17:03:06	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2011:33:05%20GMT	https://s4shanmugsundar.wixsite.com/641eb53d.min.css	C:/xampp/htdocs/HTTrack/S4%20Wix/s4shanmugsundar.wixsite.com/641eb53d.min.css	(from https://s4shanmugsundar.wixsite.com/website)
17:03:06	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2011:33:05%20GMT	https://s4shanmugsundar.wixsite.com/cabcae51.min.css	C:/xampp/htdocs/HTTrack/S4%20Wix/s4shanmugsundar.wixsite.com/cabcae51.min.css	(from https://s4shanmugsundar.wixsite.com/website)
17:03:06	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2011:33:05%20GMT	https://s4shanmugsundar.wixsite.com/b66c178d.min.css	C:/xampp/htdocs/HTTrack/S4%20Wix/s4shanmugsundar.wixsite.com/b66c178d.min.css	(from https://s4shanmugsundar.wixsite.com/website)
17:03:08	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2011:33:06%20GMT	https://s4shanmugsundar.wixsite.com/c7fdedca.min.css	C:/xampp/htdocs/HTTrack/S4%20Wix/s4shanmugsundar.wixsite.com/c7fdedca.min.css	(from https://s4shanmugsundar.wixsite.com/website)
17:03:09	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2011:33:07%20GMT	https://s4shanmugsundar.wixsite.com/ce9dcea4.min.css	C:/xampp/htdocs/HTTrack/S4%20Wix/s4shanmugsundar.wixsite.com/ce9dcea4.min.css	(from https://s4shanmugsundar.wixsite.com/website)
17:03:09	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2011:33:08%20GMT	https://s4shanmugsundar.wixsite.com/bc497b45.min.css	C:/xampp/htdocs/HTTrack/S4%20Wix/s4shanmugsundar.wixsite.com/bc497b45.min.css	(from https://s4shanmugsundar.wixsite.com/website)
17:03:10	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2011:33:08%20GMT	https://s4shanmugsundar.wixsite.com/2acb415c.min.css	C:/xampp/htdocs/HTTrack/S4%20Wix/s4shanmugsundar.wixsite.com/2acb415c.min.css	(from https://s4shanmugsundar.wixsite.com/website)
17:03:10	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2011:33:09%20GMT	https://s4shanmugsundar.wixsite.com/7d6cd51b.min.css	C:/xampp/htdocs/HTTrack/S4%20Wix/s4shanmugsundar.wixsite.com/7d6cd51b.min.css	(from https://s4shanmugsundar.wixsite.com/website)
